Date,adj close,Date,Comp,Negative,Neutral,Positive
2007-08-05,13373.156900666667,2007-08-05,-0.9723,0.124,0.803,-0.9723
2007-08-06,13468.780273,2007-08-06,-0.9953,0.136,0.792,-0.9953
2007-08-07,13504.299805,2007-08-07,-0.9558,0.135,0.743,-0.9558
2007-08-08,13657.860352,2007-08-08,-0.9973,0.184,0.69,-0.9973
2007-08-09,13270.679688,2007-08-09,0.8795,0.131,0.728,0.8795
2007-08-10,13239.540039,2007-08-10,-0.998,0.149,0.775,-0.998
2007-08-11,13238.536783666666,2007-08-11,-0.9836,0.137,0.773,-0.9836
2007-08-12,13237.533528333333,2007-08-12,-0.906,0.154,0.746,-0.906
2007-08-13,13236.530273,2007-08-13,-0.9934,0.118,0.819,-0.9934
2007-08-14,13028.919922,2007-08-14,-0.9986,0.17,0.726,-0.9986
2007-08-15,12861.469727,2007-08-15,-0.9964,0.146,0.774,-0.9964
2007-08-16,12845.780273,2007-08-16,-0.9941,0.146,0.746,-0.9941
2007-08-17,13079.080078,2007-08-17,-0.9945,0.123,0.801,-0.9945
2007-08-18,13093.169921666668,2007-08-18,-0.9903,0.188,0.687,-0.9903
2007-08-19,13107.259765333334,2007-08-19,-0.9604,0.108,0.825,-0.9604
2007-08-20,13121.349609,2007-08-20,-0.9909,0.123,0.792,-0.9909
2007-08-21,13090.860352,2007-08-21,-0.9975,0.139,0.786,-0.9975
2007-08-22,13236.129883,2007-08-22,-0.9943,0.138,0.781,-0.9943
2007-08-23,13235.879883,2007-08-23,-0.9884,0.107,0.828,-0.9884
2007-08-24,13378.870117,2007-08-24,-0.9952,0.156,0.753,-0.9952
2007-08-25,13359.956705666667,2007-08-25,-0.9969,0.198,0.722,-0.9969
2007-08-26,13341.043294333333,2007-08-26,-0.9906,0.168,0.741,-0.9906
2007-08-27,13322.129883,2007-08-27,-0.9972,0.189,0.697,-0.9972
2007-08-28,13041.849609,2007-08-28,-0.9866,0.133,0.761,-0.9866
2007-08-29,13289.290039,2007-08-29,-0.9985,0.151,0.778,-0.9985
2007-08-30,13238.730469,2007-08-30,-0.9961,0.133,0.801,-0.9961
2007-08-31,13357.740234,2007-08-31,-0.9986,0.184,0.72,-0.9986
2007-09-01,13380.5202635,2007-09-01,-0.9957,0.203,0.717,-0.9957
2007-09-02,13403.300293,2007-09-02,-0.9899,0.163,0.765,-0.9899
2007-09-03,13426.0803225,2007-09-03,-0.9755,0.156,0.729,-0.9755
2007-09-04,13448.860352,2007-09-04,-0.9838,0.115,0.799,-0.9838
2007-09-05,13305.469727,2007-09-05,-0.9976,0.145,0.791,-0.9976
2007-09-06,13363.349609,2007-09-06,-0.9877,0.12,0.803,-0.9877
2007-09-07,13113.379883,2007-09-07,-0.9971,0.182,0.703,-0.9971
2007-09-08,13118.203125,2007-09-08,-0.9924,0.157,0.783,-0.9924
2007-09-09,13123.026367,2007-09-09,-0.996,0.189,0.741,-0.996
2007-09-10,13127.849609,2007-09-10,-0.9977,0.155,0.766,-0.9977
2007-09-11,13308.389648,2007-09-11,-0.9981,0.154,0.774,-0.9981
2007-09-12,13291.650391,2007-09-12,-0.995,0.142,0.769,-0.995
2007-09-13,13424.879883,2007-09-13,-0.9919,0.142,0.749,-0.9919
2007-09-14,13442.519531,2007-09-14,-0.9903,0.13,0.792,-0.9903
2007-09-15,13429.486327999999,2007-09-15,-0.9948,0.206,0.674,-0.9948
2007-09-16,13416.453125,2007-09-16,-0.9806,0.132,0.779,-0.9806
2007-09-17,13403.419922,2007-09-17,-0.9913,0.134,0.786,-0.9913
2007-09-18,13739.389648,2007-09-18,-0.9872,0.115,0.807,-0.9872
2007-09-19,13815.55957,2007-09-19,-0.9913,0.143,0.76,-0.9913
2007-09-20,13766.700195,2007-09-20,-0.9943,0.149,0.732,-0.9943
2007-09-21,13820.19043,2007-09-21,0.9825,0.113,0.749,0.9825
2007-09-22,13799.813476666666,2007-09-22,-0.9945,0.164,0.762,-0.9945
2007-09-23,13779.436523333334,2007-09-23,0.9563,0.128,0.716,0.9563
2007-09-24,13759.05957,2007-09-24,0.9102,0.112,0.766,0.9102
2007-09-25,13778.650391,2007-09-25,-0.9856,0.13,0.765,-0.9856
2007-09-26,13878.150391,2007-09-26,-0.9888,0.108,0.811,-0.9888
2007-09-27,13912.94043,2007-09-27,-0.9946,0.15,0.743,-0.9946
2007-09-28,13895.629883,2007-09-28,-0.9765,0.1,0.821,-0.9765
2007-09-29,13959.603190333333,2007-09-29,-0.9987,0.233,0.67,-0.9987
2007-09-30,14023.576497666667,2007-09-30,-0.3134,0.123,0.741,-0.3134
2007-10-01,14087.549805,2007-10-01,0.8015,0.109,0.775,0.8015
2007-10-02,14047.30957,2007-10-02,-0.995,0.121,0.796,-0.995
2007-10-03,13968.049805,2007-10-03,-0.9573,0.119,0.775,-0.9573
2007-10-04,13974.30957,2007-10-04,-0.9885,0.142,0.747,-0.9885
2007-10-05,14066.009766,2007-10-05,-0.9983,0.153,0.774,-0.9983
2007-10-06,14058.583333666666,2007-10-06,-0.9954,0.183,0.715,-0.9954
2007-10-07,14051.156901333334,2007-10-07,-0.9949,0.166,0.752,-0.9949
2007-10-08,14043.730469,2007-10-08,-0.9924,0.129,0.782,-0.9924
2007-10-09,14164.530273,2007-10-09,-0.9936,0.117,0.808,-0.9936
2007-10-10,14078.69043,2007-10-10,-0.9952,0.147,0.752,-0.9952
2007-10-11,14015.120117,2007-10-11,-0.9454,0.121,0.774,-0.9454
2007-10-12,14093.080078,2007-10-12,-0.9995,0.205,0.71,-0.9995
2007-10-13,14056.986653666667,2007-10-13,-0.8643,0.162,0.682,-0.8643
2007-10-14,14020.893229333335,2007-10-14,-0.9828,0.179,0.698,-0.9828
2007-10-15,13984.799805,2007-10-15,0.9772,0.117,0.745,0.9772
2007-10-16,13912.94043,2007-10-16,-0.9949,0.135,0.777,-0.9949
2007-10-17,13892.540039,2007-10-17,-0.994,0.155,0.727,-0.994
2007-10-18,13888.959961,2007-10-18,-0.7904,0.113,0.78,-0.7904
2007-10-19,13522.019531,2007-10-19,-0.6687,0.133,0.743,-0.6687
2007-10-20,13537.002929666667,2007-10-20,-0.9934,0.178,0.708,-0.9934
2007-10-21,13551.986328333332,2007-10-21,-0.9961,0.175,0.772,-0.9961
2007-10-22,13566.969727,2007-10-22,0.9299,0.127,0.729,0.9299
2007-10-23,13676.230469,2007-10-23,-0.9657,0.101,0.809,-0.9657
2007-10-24,13675.25,2007-10-24,-0.9871,0.144,0.739,-0.9871
2007-10-25,13671.919922,2007-10-25,-0.9991,0.18,0.719,-0.9991
2007-10-26,13806.700195,2007-10-26,-0.9739,0.106,0.795,-0.9739
2007-10-27,13827.886718666667,2007-10-27,-0.9944,0.173,0.725,-0.9944
2007-10-28,13849.073242333332,2007-10-28,0.2869,0.11,0.784,0.2869
2007-10-29,13870.259766,2007-10-29,0.9149,0.1,0.804,0.9149
2007-10-30,13792.469727,2007-10-30,-0.9932,0.149,0.739,-0.9932
2007-10-31,13930.009766,2007-10-31,0.9896,0.106,0.77,0.9896
2007-11-01,13567.870117,2007-11-01,-0.9981,0.164,0.745,-0.9981
2007-11-02,13595.099609,2007-11-02,0.9212,0.103,0.792,0.9212
2007-11-03,13577.866536333333,2007-11-03,-0.9954,0.185,0.712,-0.9954
2007-11-04,13560.633463666667,2007-11-04,-0.9913,0.165,0.746,-0.9913
2007-11-05,13543.400391,2007-11-05,-0.9845,0.126,0.772,-0.9845
2007-11-06,13660.94043,2007-11-06,-0.9962,0.134,0.781,-0.9962
2007-11-07,13300.019531,2007-11-07,-0.9963,0.157,0.74,-0.9963
2007-11-08,13266.290039,2007-11-08,-0.999,0.189,0.707,-0.999
2007-11-09,13042.740234,2007-11-09,-0.9795,0.139,0.744,-0.9795
2007-11-10,13024.343424333334,2007-11-10,-0.9702,0.148,0.743,-0.9702
2007-11-11,13005.946614666667,2007-11-11,-0.9961,0.183,0.745,-0.9961
2007-11-12,12987.549805,2007-11-12,0.9542,0.09,0.8,0.9542
2007-11-13,13307.089844,2007-11-13,-0.9987,0.176,0.715,-0.9987
2007-11-14,13231.009766,2007-11-14,-0.8286,0.128,0.755,-0.8286
2007-11-15,13110.049805,2007-11-15,-0.9503,0.122,0.762,-0.9503
2007-11-16,13176.790039,2007-11-16,-0.9979,0.153,0.771,-0.9979
2007-11-17,13104.006836,2007-11-17,-0.9973,0.213,0.683,-0.9973
2007-11-18,13031.223633,2007-11-18,-0.9894,0.181,0.707,-0.9894
2007-11-19,12958.44043,2007-11-19,0.7616,0.123,0.753,0.7616
2007-11-20,13010.139648,2007-11-20,-0.925,0.098,0.824,-0.925
2007-11-21,12799.040039,2007-11-21,-0.9466,0.103,0.82,-0.9466
2007-11-22,12889.959961,2007-11-22,-0.9966,0.183,0.717,-0.9966
2007-11-23,12980.879883,2007-11-23,-0.984,0.146,0.758,-0.984
2007-11-24,12901.733398666667,2007-11-24,-0.9977,0.213,0.729,-0.9977
2007-11-25,12822.586914333333,2007-11-25,0.4025,0.141,0.72,0.4025
2007-11-26,12743.44043,2007-11-26,0.9936,0.084,0.802,0.9936
2007-11-27,12958.44043,2007-11-27,-0.9995,0.185,0.751,-0.9995
2007-11-28,13289.450195,2007-11-28,-0.9981,0.168,0.734,-0.9981
2007-11-29,13311.730469,2007-11-29,-0.9895,0.136,0.76,-0.9895
2007-11-30,13371.719727,2007-11-30,-0.996,0.139,0.791,-0.996
2007-12-01,13352.669922,2007-12-01,-0.2846,0.12,0.776,-0.2846
2007-12-02,13333.620117,2007-12-02,-0.9743,0.127,0.797,-0.9743
2007-12-03,13314.570312,2007-12-03,-0.9488,0.11,0.797,-0.9488
2007-12-04,13248.730469,2007-12-04,-0.9981,0.164,0.73,-0.9981
2007-12-05,13444.959961,2007-12-05,-0.9967,0.137,0.777,-0.9967
2007-12-06,13619.889648,2007-12-06,-0.999,0.189,0.713,-0.999
2007-12-07,13625.580078,2007-12-07,-0.9993,0.192,0.714,-0.9993
2007-12-08,13659.396809666667,2007-12-08,-0.9667,0.168,0.708,-0.9667
2007-12-09,13693.213541333334,2007-12-09,-0.8206,0.137,0.743,-0.8206
2007-12-10,13727.030273,2007-12-10,-0.7079,0.083,0.848,-0.7079
2007-12-11,13432.769531,2007-12-11,-0.9912,0.137,0.77,-0.9912
2007-12-12,13473.900391,2007-12-12,-0.9945,0.109,0.845,-0.9945
